intensity_cat_accu,intensity_cat_accu_base,mae_dx,mae_dy,mae_intensity_stat,mae_intensity_stat_viz,max_depth,past_n_steps,pred_n_steps,reduced_ranks
0.601,0.494,0.8690000176429749,1.4329999685287476,9.020000457763672,9.29800033569336,5,8,8,"[4, 7, 10, 10]"
0.603,0.494,0.8690000176429749,1.4329999685287476,9.020000457763672,9.29800033569336,6,8,8,"[4, 7, 10, 10]"
0.612,0.494,0.8629999756813049,1.430999994277954,9.020000457763672,9.12600040435791,5,8,8,"[3, 5, 5, 5]"
0.609,0.494,0.8629999756813049,1.430999994277954,9.020000457763672,9.12600040435791,6,8,8,"[3, 5, 5, 5]"
0.611,0.494,0.8539999723434448,1.4290000200271606,9.020000457763672,9.133999824523926,5,8,8,"[3, 3, 3, 3]"
0.609,0.494,0.8539999723434448,1.4290000200271606,9.020000457763672,9.133999824523926,6,8,8,"[3, 3, 3, 3]"
0.601,0.494,0.8690000176429749,1.4329999685287476,9.020000457763672,9.29800033569336,5,8,16,"[4, 7, 10, 10]"
0.603,0.494,0.8690000176429749,1.4329999685287476,9.020000457763672,9.29800033569336,6,8,16,"[4, 7, 10, 10]"
0.612,0.494,0.8629999756813049,1.430999994277954,9.020000457763672,9.12600040435791,5,8,16,"[3, 5, 5, 5]"
0.609,0.494,0.8629999756813049,1.430999994277954,9.020000457763672,9.12600040435791,6,8,16,"[3, 5, 5, 5]"
0.611,0.494,0.8539999723434448,1.4290000200271606,9.020000457763672,9.133999824523926,5,8,16,"[3, 3, 3, 3]"
0.609,0.494,0.8539999723434448,1.4290000200271606,9.020000457763672,9.133999824523926,6,8,16,"[3, 3, 3, 3]"
0.616,0.504,0.890999972820282,1.468999981880188,8.967000007629395,9.083999633789062,5,12,8,"[4, 7, 10, 10]"
0.617,0.504,0.890999972820282,1.468999981880188,8.967000007629395,9.083999633789062,6,12,8,"[4, 7, 10, 10]"
0.618,0.504,0.8790000081062317,1.475000023841858,8.967000007629395,8.97700023651123,5,12,8,"[3, 5, 5, 5]"
0.62,0.504,0.8790000081062317,1.475000023841858,8.967000007629395,8.97700023651123,6,12,8,"[3, 5, 5, 5]"
0.622,0.504,0.8769999742507935,1.4670000076293945,8.967000007629395,8.916999816894531,5,12,8,"[3, 3, 3, 3]"
0.62,0.504,0.8769999742507935,1.4670000076293945,8.967000007629395,8.916999816894531,6,12,8,"[3, 3, 3, 3]"
0.616,0.504,0.890999972820282,1.468999981880188,8.967000007629395,9.083999633789062,5,12,16,"[4, 7, 10, 10]"
0.617,0.504,0.890999972820282,1.468999981880188,8.967000007629395,9.083999633789062,6,12,16,"[4, 7, 10, 10]"
0.618,0.504,0.8790000081062317,1.475000023841858,8.967000007629395,8.97700023651123,5,12,16,"[3, 5, 5, 5]"
0.62,0.504,0.8790000081062317,1.475000023841858,8.967000007629395,8.97700023651123,6,12,16,"[3, 5, 5, 5]"
0.622,0.504,0.8769999742507935,1.4670000076293945,8.967000007629395,8.916999816894531,5,12,16,"[3, 3, 3, 3]"
0.62,0.504,0.8769999742507935,1.4670000076293945,8.967000007629395,8.916999816894531,6,12,16,"[3, 3, 3, 3]"
0.638,0.514,0.9190000295639038,1.524999976158142,8.723999977111816,8.824000358581543,5,16,8,"[4, 7, 10, 10]"
0.636,0.514,0.9190000295639038,1.524999976158142,8.723999977111816,8.824000358581543,6,16,8,"[4, 7, 10, 10]"
0.641,0.514,0.9129999876022339,1.5119999647140503,8.723999977111816,8.756999969482422,5,16,8,"[3, 5, 5, 5]"
0.632,0.514,0.9129999876022339,1.5119999647140503,8.723999977111816,8.756999969482422,6,16,8,"[3, 5, 5, 5]"
0.639,0.514,0.8999999761581421,1.5069999694824219,8.723999977111816,8.670000076293945,5,16,8,"[3, 3, 3, 3]"
0.636,0.514,0.8999999761581421,1.5069999694824219,8.723999977111816,8.670000076293945,6,16,8,"[3, 3, 3, 3]"
0.638,0.514,0.9190000295639038,1.524999976158142,8.723999977111816,8.824000358581543,5,16,16,"[4, 7, 10, 10]"
0.636,0.514,0.9190000295639038,1.524999976158142,8.723999977111816,8.824000358581543,6,16,16,"[4, 7, 10, 10]"
0.641,0.514,0.9129999876022339,1.5119999647140503,8.723999977111816,8.756999969482422,5,16,16,"[3, 5, 5, 5]"
0.632,0.514,0.9129999876022339,1.5119999647140503,8.723999977111816,8.756999969482422,6,16,16,"[3, 5, 5, 5]"
0.639,0.514,0.8999999761581421,1.5069999694824219,8.723999977111816,8.670000076293945,5,16,16,"[3, 3, 3, 3]"
0.636,0.514,0.8999999761581421,1.5069999694824219,8.723999977111816,8.670000076293945,6,16,16,"[3, 3, 3, 3]"
