compression_error,intensity_cat_accu,intensity_cat_accu_base,mae_dx,mae_dy,mae_intensity,max_depth,past_n_steps,pred_n_steps,reduced_ranks
28.11753543980059,0.565,0.495,0.9599999785423279,1.3899999856948853,12.447999954223633,5,16,8,"[5, 7, 5, 5]"
16.757579126598074,0.59,0.495,0.9269999861717224,1.409000039100647,12.54800033569336,5,16,8,"[10, 7, 10, 10]"
26.952782735198497,0.594,0.495,0.9139999747276306,1.3580000400543213,12.53499984741211,5,16,8,"[15, 7, 5, 5]"
28.50485398962691,0.5,0.392,2.5929999351501465,2.9110000133514404,15.597000122070312,5,16,16,"[5, 7, 5, 5]"
17.07358229880196,0.57,0.392,2.3350000381469727,2.9110000133514404,15.682000160217285,5,16,16,"[10, 7, 10, 10]"
27.31077955683341,0.562,0.392,2.309999942779541,3.0,16.356000900268555,5,16,16,"[15, 7, 5, 5]"
28.630795332829695,0.622,0.559,1.0,1.590000033378601,10.574000358581543,5,24,8,"[5, 7, 5, 5]"
17.48214989749564,0.616,0.559,0.9679999947547913,1.61899995803833,10.119000434875488,5,24,8,"[10, 7, 10, 10]"
26.65015554659673,0.63,0.559,1.0160000324249268,1.4670000076293945,10.378000259399414,5,24,8,"[15, 7, 5, 5]"
30.076771263066714,0.56,0.428,2.7760000228881836,3.384000062942505,14.305000305175781,5,24,16,"[5, 7, 5, 5]"
18.457537807442165,0.576,0.428,2.8970000743865967,3.506999969482422,15.116000175476074,5,24,16,"[10, 7, 10, 10]"
27.987964558708775,0.584,0.428,2.630000114440918,3.4860000610351562,14.473999977111816,5,24,16,"[15, 7, 5, 5]"
